痛み,"いたみ「THỐNG」 pain, cơn đau, sự đau đớn
体の痛みは、何かのサインだ。
Đau người là 1 dấu hiệu gì đó"
頭痛,"ずつう「ĐẦU THỐNG」 headache ,đau đầu
頭痛がひどいので、今日は会社を休みます。
Vì đau đầu quá nên hôm nay nghỉ làm"
腹痛,"ふくつう「PHÚC THỐNG」 stomachache, đau bụng
腹痛がひどくて、学校に行けなかった。
Đau bụng nặng khiến tôi ko thể đến trường được
＋胃痛：いつう：stomachache, đau dạ dày"
はげしい,"violent, dữ đội
はげしい頭痛がしたので、病院で診てもらった。
Đau đầu dữ dội nên tôi đi khám ở bv"
異常,"いじょう「DỊ THƯỜNG」 abnormally , sự bất thường
医者に診てもっらたが、異常はなかった。（名）
Bác sỹ khám tôi nhưng ko gì bất thường
この痛みは異常だ。（な形）
CƠn đau này ko bình thường
＜＞正常：せいじょう: bình thường"
めまい,"dizzness, chóng mặt
急に立ち上がったら、めまいがした。
Tự dưng đứng dậy ngay là bị chóng mặt"
やけど,"burn, bỏng
なべのお湯でやけどした。
BỊ bỏng vì nước sôi trong nồi"
吐く,"はく「THỔ」 to spit up, nôn
晩ご飯に食べた物を吐いてしまった。
Tôi nôn ra những gì đã ăn trong bữa tối"
吐き気,"はきけ「THỔ KHÍ」 nausea, buồn nôn
吐き気がするので、何も食べられない。
Buồn nôn nên chẳng ăn được gì"
とれる,"（痛みが）とれる to recede, hết (đau)
薬を飲んでも、なかなか痛みがとれない
Uống thuốc rồi mà mãi ko hết đau
＋（痛みを）とる：to take (pain) away / làm hết (đau)"
インフルエンザ,"influenza, cảm cúm
全国で、インフルエンザが流行している。
Dịch cúm đã lan tràn trên khắp cả nước"
ウイルス,"virus, vi rút
今年のインフルエンザのウイルスは、とても強いようだ。
Vi rút cúm năm nay có vẻ rất mạnh"
ふるえる,"to shake, run rẩy
寒くて、体がふるえた。
Lạnh run cả người"
うなる,"to moan, rên rỉ
ゆうべは３９度の熱があって、ずっとうなっていた。
Tối qua tôi sốt đến 39 độ nên rên rỉ suốt"
苦しむ,"くるしむ「KHỔ」 to suffer, khổ sở
早く病院に行けば、こんなに苦しまなかったのに。
Nếu đi bv sớm đã ko đến nỗi khổ sở như thế này"
しびれる,"to go numb, tê
手と足が少ししびれている
Tay và chân hơi tê
＋しびれ： numbness: tê"
部分,"ぶぶん「BỘ PHÂN」 area, part / bộ phận, chỗ
頭の、どの部分が痛いですか。
Chỗ nào trên đầu bị đau?
＜＞全体：ぜんたい：toàn bộ cơ thể"
骨折,"こっせつ「CỐT CHIẾT」 bone break, gãy xương
バレーボールで、右手の中指を骨折した
Tôi bị gãy ngón giữa tay phải vì chơi bóng chuyền"
さわる,"to touch, sờ
そこは痛いから、さわらないで。
Chỗ đó đau lắm đừng đụng vào"
