バス停,"ばすてい「ĐÌNH」 bến đỗ xe bus
私のアパートの近くに、バス停がある。
Gần khu tập thể của tôi có bến đỗ xe bus
＝停留所：ていりゅうじょ
＝バス乗り場：バスのりば"
乗車口,"じょうしゃぐち「THỪA XA KHẨU」 cửa lên xe
乗車口でバス代を払ってください。
Hãy trả tiền xe bus ở cửa lên xe
＜＞降車口：こうしゃぐち： cửa xuống xe"
乗客,"じょうきゃく「THỪA KHÁCH」 hành khách
昼間の乗客は、高齢者が多い。 
Hành khách ban ngày có nhiều người già"
乗車,"じょうしゃ「THỪA XA」 đi tàu, đi xe
この切符は、一日に何回も乗車できる。
Vé này có thể đi tàu một ngày mấy lần cũng được"
発車,"はっしゃ「PHÁT XA」 sự xuất phát
このバスは10時に発車する。
Xe bus này xuất phát lúc 10 giờ"
通過,"つうか「THÔNG QUÁ」 sự đi quá
もうすぐ市役所の前を通過する。
Sắp sửa đi qua trước cửa tòa thị chính"
停車,"ていしゃ「ĐÌNH XA」 sự dừng xe
駅前で停車すると、たくさんの人が乗ってきた。
Khi dừng xe trước nhà ga nhiều người lên xe"
下車,"げしゃ「HẠ XA」 sự xuống xe
たくさんの人が途中で下車した。
Nhiều người xuống xe giữa chừng
＋降りる：おりる： xuống tàu xe
＋途中下車：とちゅうげしゃ：sự xuống tàu giữa chừng"
交通費,"こうつうひ「GIAO THÔNG PHÍ」 tiền đi lại
日本は交通費が、とても高い。
Tiền đi lại ở Nhật Bản rất đắt"
バス代,"バスだい「ĐẠI」 tiền xe bus
今年、バス代が高くなかった。
Năm này, tiền xe bus đã tăng"
払い戻す,"はらいもどす「PHẤT LỆ」 trả lại, lấy lại
一度払ったバス代は、払い戻せません。
Tiền xe bus một khi đã trả rồi thì không lấy lại được
＋払い戻し：はらいもどし： trả lại, lấy lại"
定員,"ていいん「ĐỊNH VIÊN」 số người chở tối đa
このバスの定員は45人だ。
Số người chở tối đa của xe bus này là 45 người"
つめる,"dồn nhét
込んでいるときは、席をつめてお座りください。
Khi đông người hãy ngồi dồn chỗ"
がらがら,"vắng tanh
この時間のバスはガラガラだ。
Xe bus giờ này vắng tanh."
空く,"すく「KHÔNG」 trống
駅前で人が降りたので、バスが空いた。
Trước ga mọi người đã xuống nên xe bus trống"
満員,"まんいん「MÃN VIÊN」 đầy chỗ, hết chỗ
雨の日の朝は、満員になることが多い。
Nhiều hôm buổi sáng trời mưa là hết chỗ
＋満席：まんせき： đầy chỗ, hết chỗ"
ぎっしり　「と」,"chật ních
バスに人がぎっしり乗っている。
Người ngồi chật ních trong xe bus
＋びっしり「と」： chật ních"
時刻,"じこく「THÌ KHẮC」 giờ giấc
日本のバスは、時刻の通りに走る。
Xe bus này chạy đúng giờ
＋時刻表：じこくひょう：bảng giờ giấc"
優先席,"ゆうせんせき「ƯU TIÊN TỊCH」 ghế ưu tiên
優先席に若い男性が座っている。
Người đàn ông trẻ đang ngồi ghế ưu tiên"
立ち上がる,"たちあがる: đứng dậy
お年寄りが乗ってきたので、すぐに立ち上がった。
1 người già bước lên xe nên tôi đã đứng dậy ngay"
ゆずる,"nhường
お年寄りに席をゆずった。
Tôi nhường ghế cho người già."
かかる,"to take, to use up, tốn
電車よりバスのほうが、時間がかかる。
Xe bus tốn thời gian hơn tàu điện"
ブレーキ,"brake, phanh
急なブレーキで、バスが止まった。
Xe bus phanh dừng gấp
＋急ブレーキ：きゅうブレーキ: phanh gấp"
