刻む,"きざむ 「KHẮC」 khắc, chạm trổ, cắt tỉa
野菜を細かく刻みます。 Cắt tỉa rau 1 cách tỉ mỉ"
（卵を）割る,"割る「CÁT」 đập ( trứng), làm bể
卵を三つ、割ってください。 Hãy đập 3 quả trứng"
むく,"bóc, gọt
じゃがいもむいたら、小さい切ります。Gọt xong vỏ khoai tây thì thái nhỏ"
加える,"くわえる「GIA」 thêm
なべに水を200ミリリットル加えます。 Cho thêm 200 ml nước vào nồi"
少々,"しょうしょう「THIỂU」 một chút, 1 ít
塩とこしょうを少々入れます。Cho thêm vào 1 chút muối và tiêu"
揚げる,"あげる「DƯƠNG」 rán , chiên
１８０度の油で、しっかり揚げます。Rán kỹ bằng dầu nóng 180 độ"
煮る,"にる「CHỬ」 nấu, ninh
なべにふたをして、30分煮てください。 Hãy đậy nắp nồi và ninh 180p"
ゆでる,"luộc
お湯に塩を入れて、ゆでます。 Cho muối vào nước đang sôi"
蒸す,"むす「CHƯNG」 hấp
電子レンジで、野菜を蒸します。Hấp rau bằng lò vi sóng"
くるむ,"quấn, cuộn
桜の葉で、材料をくるみます。 Quấn nguyên liệu bằng lá cây hoa anh đào"
にぎる,"nắm
ご飯に梅干し（うめぼし）を入れて、いぎります。 Cho mơ muối vào cơm rồi nắm bóp lại
＋おにぎり：cơm nắm"
熱する,"ねつする「NHIỆT」 làm nóng, đun nóng
フライパンで、５分くらい熱してください。 Hãy làm nóng chảo khoảng 5 phút"
こげる,"cháy
焼きすぎて、魚がこげてしまいました。Nướng kỹ quá, cá bị cháy mất rồi
＋加熱：かねつ: Gia nhiệt"
取り出す,"とりだす「THỦ XUẤT」 lấy ra
電子レンジから、温めた野菜を取り出します。Lấy rau đã hâm nóng từ lò vi sóng ra"
塗る,"ぬる「ĐỒ」 phết, bôi
パンにバターを塗ります。Phết bơ lên bánh mì"
温める,"あたためる「ÔN」 làm nóng, hâm nóng
これは、このままでも温めても、おいしいです。 Cái này để nguyên thế này hoặc hâm nóng lên đều ngon"
冷やす,"ひやす「LÃNH」 để lạnh, để nguội
この料理は冷やしても、おいしいです。 MÓn ăn này để nguội cũng ngon"
ぬるい,"ấm, âm ấm
ぬるいコーヒーは、おいしくないです。Cà phê âm ấm thì không ngon"
水分,"すいぶん「THỦY PHÂN」 thành phần nước, nước
この野菜は水分が多いですね。Rau này chứa nhiều nước"
沸かす,"わかす「PHÍ」 đun sôi
そこのやかんで、お湯を沸かしてください。Hãy đun sôi nước bằng cái ấm ở đó"
注ぐ,"そそぐ「CHÚ」 rót
お湯をカップに注ぐ、3分待ちます。Rót nước vào cốc, chờ đợi 3p"
味見,"あじみ「VỊ KIẾN」 sự nếm thử
途中でちょっと味見をしてみましょう。Giữa chừng hãy nếm thử 1 chút"
手間,"てま「THỦ GIAN」 thời gian, công sức
この料理は手間がかかりません。 Món ăn này không tốn thời gian"
手軽(な),"てがる(な)「THỦ KHINH」 dễ dàng
家でも手軽にレストランの料理が作れます。 Ở nhà cũng có thể dễ dàng nấu được món ăn của nhà hàng"
出来上がり,"できあがり xong, nấu xong
これで、料理の出来上がりです。Thế là món ăn đã được nấu xong"
分ける,"わける「PHÂN」 chia
この料理は、二人で分けて食べましょう。Món ăn này hãy chia cho 2 người cùng ăn"
つまむ,"gắp
それは、はしでつまんで食べてください。 Cái món ăn này hãy dùng đũa để gắp ăn"
塩辛い,"しおからい「DIÊM TÂN」 mặn
これは、ちょっと塩辛いですね。Cái này có 1 chút mặn nhỉ"
すっぱい,"chua
私は、すっぱいりんごが好きです。 Tôi thích táo chua"
冷凍,"れいとう「LÃNH ĐỐNG」 sự đông lạnh
料理が残ったら、冷凍しておきましょう。Khi món ăn bị thừa, chúng ta hãy để vào tủ đông
＋冷凍食品：れいとうしょくひん：đồ đông lạnh"
