頭が痛い,あたまがいたい「ĐẦU THỐNG」 give someone a headache / đau đầu
頭にくる,"あたまにくる「ĐẦU 」 get on one's nerves / điên đầu, bực mình"
腹が立つ,はらがたつ「PHÚC LẬP」 make one angry / tức giận
目にする,"めにする「MỤC」 to see / chứng kiến, thực tế nhìn thấy"
耳にする,"みみにする「NHĨ」 to hear / nghe thấy, đến tai"
鼻が高い,"はながたかい「TỊ CAO」 proud / phổng mũi, tự hào"
口に合う,くちにあう「KHẨU HỢP」 hợp khẩu vị
口が悪い,くちがわるい「KHẨU ÁC」 have a loose tongue / ko biết giữ miệng
口が堅い,くちがたかい「KHẨU KIÊN」 tight-lipped / biết giữ miệng
首になる,くびになる「THỦ」 to be fired / bị đuổi việc
気にする,きにする「KHÍ」 to worry about / ko lắng
気になる,きになる「KHÍ」 to be curious about / bận tâm
愛を込めて,あいをこめて with love / chứa đựng tình yêu
感謝を込めて,かんしゃをこめて with thanks / với lòng biết ơn
心を込めて,"こころをこめて with all one's heart / bằng tấm lòng, thể hiện tình cảm"
