なべ,"nồi
スーパーで、大きななべを買った。 Tôi đã mua cái nồi lớn ở siêu thị"
フライパン,"chảo
フライパンで、オムレツを作った。
Tôi làm món trứng rán bằng chảo"
包丁,"ほうちょう「BAO ĐINH」 con dao
私の家には包丁が一杯しかない。
Nhà tôi chỉ có một con dao"
まな板,"まないた「BẢN」 thớt
うちのまな板は、木で出来ている。
Thớt nhà tôi làm bằng gỗ"
おたま,"cái muôi, cái vá
おたまでカレーを、よく混ぜてください。
Hãy dùng muôi trộn cà ri thật kỹ"
しゃもじ,"Thìa xới cơm
このしゃもじは、ご飯がつきにくい。
Cái thìa xới cơm này khó bị dính cơm"
大さじ,"おおさじ thìa to, muỗng to
まず、砂糖を大さじ２一杯入れてください。 Trước tiên, hãy cho vào 2 thìa đường to
＋小さじ：小さじ: thìa nhỏ, muỗng nhỏ"
炊飯器,"すいはんき「XUY PHẠN KHÍ」 nồi cơm điện
炊飯器で、ご飯を炊く。 Nấu cơm bằng nồi cơm điện
炊く：たく：nấu (cơm)"
流し台,"ながしだい「LƯU THAI」 bồn rửa
この流し台は石でできている。 Cái bồn rửa này làm bằng đá."
電子レンジ,"でんしれんじ「でんしれんじ」 lò vi sóng
電子レンジの「チン」という音が聞こえた。
Tôi đã nghe thấy tiếng ""Ring"" báo hiệu của lò vi sóng"
調味料,"ちょうみりょう「ĐIỀU VỊ LIÊU」 gia vị, bột ngọt
台所に調味料が、たくさんある。 Trong bếp có rất nhiều gia vị
＋こしょう：tiêu
＋酢：す：dấm"
サラダ油,"さらだあぶら「DU」 dầu ăn
サラダ油を買って来るのを忘れた。 Tôi đã quên mua dầu ăn đến
＋サラダオイル：dầu ăn"
食品,"しょくひん「THỰC PHẨM」 thực phẩm, đồ ăn
食品は近所のスーパーで買う。 Tôi mua thực phẩm ở siêu thị gần nhà
＝食料品: đồ ăn nhanh
＋インスタント食品：インスタントしょくひん: đồ ăn nhanh"
きらす,"dùng hết
しょうゆを切らしたので、コンビニに買いに行った。
Vì đã dùng hết xì dầu, nên tôi đã đi ra cửa hàng để mua"
くさる,"hỏng, thiu
冷蔵庫の牛乳が、くさっていた。
Sữa bò để trong tủ lạnh bị hỏng"
アルミホイル,"giấy bạc
アルミホイルで包んで、魚を焼く
Tôi bọc cá bằng giấy bạc để nướng"
ラップ,"màng bọc thực phẩm, giấy bóng
残ったものはラップして、冷蔵庫に入れておく。
Tôi gói đồ ăn thừa bằng màng bọc và bỏ vào tủ lạnh"
おしぼり,"khăn ướt
かにを食べるときは、おしぼりが必要だ。
Khi ăn cua cần đến khăn ướt"
食器,"しょっき「THỰC KHÍ」 bát đĩa
クリスマスの料理に合う食器を選ぶ。
Chọn bát đĩa hợp với các món ăn lễ No-en"
茶わん,"ちゃわん: bát , chén
一人暮らしのために、新しい茶わんを買った。
Tôi đã mua bát mới cho cuộc sống mới của mình"
グラス,"Lý, tách
ビールを飲むグラスは、どれがいいですか。
Ly uống bia cái nào thì tốt hơn"
