気に入る,"きにいる「KHÍ NHẬP」 to like, thích, ưa
私は、この画家の絵が気に入っている。
Tôi ưa thích tranh của họa sỹ này"
お気に入り,"おきにいり「KHÍ NHẬP」 favorite, thích, ưa
ドラマで見てから、この俳優がお気に入りだ。
Sau khi nhìn trên phim, tôi thích diễn viên này"
芸術,"げいじゅつ「VÂN THUẬT」 the arts, nghệ thuật
日本の芸術に興味がある。
Tôi có hứng thú vs nghệ thuật của Nhật"
絵画,"かいがが「HỘI HỌA」 painting, tranh vẽ
来年は、絵画教室に通うつもりだ。
Sang năm tôi định sẽ đến lớp học hội họa
＋画家：がか：painter, họa sỹ"
才能,"さいのう「TÀI NĂNG」 ability, tài năng, năng khiếu
先生から、絵の才能があると言われた。
Thầy giáo nói rằng tôi có năng khiếu vẽ tranh
＋天才：てんさい：genius, thiên tài"
けいこ,"training, practice, việc học
お茶のけいこを始めた。
Tôi bắt đầu học trà đạo"
アニメ,"anime
日本のアニメは、世界中で見られている。
Hoạt hình anime của Nhật đc xem trên khắp thế giới
＝アニメーション"
読書,"どくしょ「ĐỘC THƯ」 reading, việc đọc sách
通勤時間に読書をしている
Tôi đọc sách trong thời gian di chuyển đi làm"
おすすめ,"suggestion, lời khuyên, đề cử
何かおすすめの本は、ありませんか。
Có sách nào hay không
＋すすめる：to sugges / khuyên / tiến cử"
ストーリー,"story, câu chuyện
この小説のストーリーは、面白い。
Câu chuyện của cuốn tiểu thuyết này thú vị"
シリーズ,"series, tuyển tập se-ri
「スーパーマン」のシリーズは、全部見た。
Tôi đã xem toàn bộ tuyển tập Siêu Nhân"
名作,"めいさく「DANH TÁC」 tác phẩm nổi tiếng
この映画は名作だから、ぜひ見てください。
Bộ phim này là 1 tác phẩm nổi tiếng nên nhất định hãy xem"
登場,"とうじょう「ĐĂNG TRÀNG」 appearance, sự xuất hiện
この映画の最後のほうで、人気俳優が登場する。
Gần cuối bộ phim này, diễn viên đc ưa thích xuất hiện"
好奇心,"こうきしん「HẢO KÌ TÂM」 curiosity, kiếu kỳ, tò mò
彼は好奇心が強くて、趣味が多い。
Anh ấy rất tò mò và có nhiều sở thích"
コンクール,"competition, contest, cuộc thi, giải thưởng
来年の絵画コンクールに、チャレンジするつもりだ。
Tôi định thử tham gia cuộc thi sáng tác tranh năm tới
＋コンテスト：contest / cuộc thi"
出品,"しゅっぴん「XUẤT PHẨM」 submit ( a work, piece) đưa tác phẩm đi tham gia
コンクールに出品する絵を選らう。
Chọn tranh để đi tham dự cuộc thi"
演奏,"えんそう「DIỄN TẤU」 performance, sự biểu diễn
月に1回、ピアノの演奏を聞きに行く。
Mỗi tháng 1 lần tôi đi nghe biểu diễn piano"
イヤホン,"earphone, tai nghe
ジョギング中に、イヤホンで音楽を聞いている
Tôi nghe nhạc qua tai nghe lúc chạy bộ
＋ヘッドホン：headphone , tai nghe chụp"
講演会,"こうえんかい「GIẢNG DIỄN HỘI」 lecture, buổi diễn thuyết
興味があるテーマの講演会をききに行った。
Tôi đi nghe 1 buổi diễn thuyết có chủ đề tôi quan tâm"
サークル,"circle, club, câu lạc bộ
大学時代から、音楽のサークルに入っている。
Tôi tham gia câu lạc bộ âm nhạc từ thời sv
＋クラブ：club , clb
＋サークル仲間：friend from a club, bạn cùng clb
＋テニスサークル：tennis circle/ clb quần vợt"
