表面,"ひょうめん「BIỂU DIỆN」 surface , bề mặt, bề ngoài
この果物の表面は固いが、中にやわらかい。"
立派,"りっぱな「LẬP PHÁI」 elegant / hoành tráng , xuất sắc
①リビングに、立派なテーブルが置いてある。
②彼は立派な学者になった。"
目立つ,"めだつ「MỤC LẬP」 to stand out , nổi bật
彼女の服は、派手で目立つ。"
きらきら,"きらきら＜する＞ glitter, sparkle / lấp lánh
このガイヤは小さいけれど、きらきらしている。"
ぴかぴか,"ぴかぴか＜と＞ shining / nhấp nháy
クリスマスツリーがぴかぴかと光っている。"
異なる,"ことなる「DỊ」 to differ / khác
AとBは似ているが、微妙に異なる。"
ぼんやり,"ぼんやり＜と＞＜する＞ dimly, faintly / mờ mờ
遠くに山がぼんやりと見える。"
大型,"おおがた「ĐẠI HÌNH」 large-size / lớn
明日、大型の台風が来るかもしれない。
＜＞小型：こがた
＋大型バス：おおがたバス：xe bus cỡ lớn"
多め,"おおめ＜な＞「ĐA」 larger quantity / hơi nhiều (1 chút)
ミルクが多めのコーヒーが好きだ。
この店のハンバーガーは、野菜が多めだ。
＜＞少なめ：すくなめ"
大きめ,"おおきめ＜な＞「ĐẠI」 larger size / hơi to, hơi lớn (1 chút)
子供には、大きめの服を買ってあげる
ジャケットは、大きめほうが着やすい。
＜＞小さめ：ちいさめ"
太め,"ふとめ＜な＞「THÁI」 thicker / hơi to mập, hơi rộng ( 1 chút)
今年の夏は、太めのパンツが欲しい。
ここのラーメンは太めだ
＜＞細め：ほそめ"
完ぺき,"かんぺき＜な＞「HOÀN」 perfect / hoàn hảo, ko chê vào đâu được
この朝食は、栄養のバランスが完ぺきだ。"
たっぷり,"たっぷり＜と＞＜する＞ full , đầy
紅茶にミルクと佐藤をたっぷり入れる。"
多少,"たしょう「ĐA THIỂU」 a little / ít nhiều
この商品は、サンプルと多少違う。"
それほど,"(not) to that degree / đến mức đó
みんなが彼を変だと言うが、それほどでもない。
＝そんなに"
縮む,"ちぢむ「SÚC」 to shrink / bị co rút
このシャツは、洗濯機で洗うたびに縮む。"
