怪しい,"あやしい「QUÁI」 suspicious / khả nghi
怪しい人を見たら、警察に連絡してください。
Nếu nhìn thấy người khả nghi, hãy liên lạc vs cảnh sát"
恐ろしい,"おそろしい「KHỦNG」 horrible / sợ, đáng sợ
最近は、恐ろしい事件が多い。
Gần đây có nhiều vụ việc đáng sợ"
暴れる,"あばれる「BẠO」 to behave violently / đập phá, quậy phá
この近くで、男が暴れていたらしい。
Nghe nói, ở gần đây có người đàn ông quậy phá
＋暴力：ぼうりょく： violence / bạo lực"
争う,"あらそう「TRANH」 to fight / tranh cãi, đầu tranh
夜中に、男性と女性が争う声が聞こえた。
Nửa đêm tôi nghe thấy tiếng đàn ông và người bà tranh cãi
＋争い：battel / cuộc tranh cãi
＋言い争い： argument / sự cãi vã"
犯罪,"はんざい「PHẠM TỘI」 crime / tội phạm
あの町は犯罪が多い。
Thành phố đó có nhiều người tội phạm"
発見者,"はっけんしゃ「PHÁT KIẾN GIẢ」 discoverer / người phát hiện
警察は、怪しいかばんの発見者に話を聞いている。
Cảnh sát hỏi chuyện người phát hiện ra chiếc cặp khả nghi"
疑う,"うたがう「NGHI」 to doubt / nghi ngờ
警察に、第一発見者が疑われているようだ。
Dường như người phát hiện đầu tiên bị cảnh sát nghi ngờ
＋疑い： doubt / sự nghi ngờ"
うそつき,"liar / kẻ nói dối, sự nói dối
誰も彼をうそつきとは思わなかった。
Ko ai nghĩ anh ta là kẻ nói dối"
犯人,"はんにん「PHẠM NHÂN」 criminal / phạm nhân, thủ phạm
犯人は、二十歳くらいの男らしい。
Nghe nói thủ phạm là nam giới khoảng 20 tuổi"
いたずら,"いたずら（な・する）practical joke, mischief/ trò nghịch ngợm
子供のいたずらが、大きな事件になった。（名）
いたずらな子供が、線路に石を置いた。（な形）
Trò nghịch ngợm của trẻ con đã trở thành 1 vụ án lớn
Đứa trẻ nghịch ngợm kê hòn đá trên đường tàu"
さけぶ,"to scream , gào , thét
外で女性が大きな声でさけんでいる。
＋叫び声：shout / tiếng gào thét"
たたく,"to strike , to hit / gõ
誰かがドアをたたいている。
Có ai đó đang gõ cửa
＋ぶつ：to hit, to beat / đánh"
盗む,"ぬすむ「ĐẠO」 to steal , lấy trộm
泥棒に指輪を盗まれた。
Tôi bị kẻ trộm lấy trộm chiếc nhẫn
泥棒：どろぼう：kẻ trộm"
うばう,"to take , cướp
道を歩いていて、ハンドバッグをうばわれた。
Đang đi đường thì bị cướp túi xách"
捜す,"「SƯU」 さがす・to look for / tìm
警察が犯人を捜している。
Cảnh sát đang truy tìm thủ phạm"
追う,"おう「TRUY」 to pursue, đuổi theo
警察が犯人を追っている。
Cảnh sát đang đuổi theo thủ phạm"
捕まえる,"つかまえる「BỘ」 to catch / bắt, tóm
警察が犯人をやっと捕まえた。
Cuối cùng cảnh sát cũng bắt được thủ phạm"
捕まる,"つかまる「BỘ」 to be caught / bị bắt
家の近くで、犯人が捕まった。
Thủ phạm bị bắt gần nhà tôi"
逮捕,"たいほ「ĐÃI BỘ」 arrest / sự bắt, tóm
犯人が逮捕されて、市民は安心した。
 Tên thủ phạm đã bị bắt khiến người dân an tâm"
気味が悪い,"きみがわるい creepy / cảm thấy sợ sợ
知らない人から電話がかかってきて、気味が悪い。
Có người lạ gọi điện thoại đến cảm thấy sợ sợ"
パトカー,"Patrol car . Xe cảnh sát
昨日、深夜までパトカーの音が聞こえた。
Hôm qua tôi nghe thấy tiếng xe cảnh sát đến tận nửa đêm
＋救急車：きゅうきゅうしゃ：xe cấp cứu"
