学部,"がくぶ「HỌC BỘ」 khoa
人気の学部に、定員の50倍の学生が集まった。
Những khoa đc mọi người thích có số lượng sv tập trung gấp 50 lần mức chi tiêu"
文系,"ぶんけい「VĂN HỆ」 môn ngành xã hội
ほとんどの大学では、文系に女子が多い。
Trong hầu hết các trường DH môn ngành xh có nhiều nữ"
理系,"りけい「LÍ HỆ」 ngành tự nhiên
化学が好きなので、理系に進んだ。
Tôi thích môn hóa nên tôi đã theo học ngành tự nhiên"
学科,"がっか「HỌC KHOA」 bộ môn
私は外国語学部の日本語学科で勉強している。
Tôi đang học bộ môn tiếng Nhật của khoa ngoại ngữ
＋心理学：しんりがく：môn tâm lý học
＋物理学：ぶつりがく：môn vật lý
＋法学：ほうがく：môn luật
＋言語学：げんごがく： môn ngôn ngữ học"
専攻,"せんこう「CHUYÊN CÔNG」 chuyên môn, chuyên ngành
大学で何を専攻するか、よく考えて受験する。
Tôi suy nghĩ kỹ xem mình theo học chuyên ngành gì để ở DH để thi vào"
前期,"ぜんき「TIỀN KÌ」 học kỳ đầu
明日から前期の試験が始まる。
Ngày mai bắt đầu thi học kỳ đầu
＜＞：後期：こうき：học kỳ sau"
学費,"がくひ「HỌC PHÍ」 học phí
この大学の学費は、あまり高くない。
Học phí của trường đại học này ko cao lắm
＋授業料：じゅぎょうりょう： tiền học"
奨学金,"しょうがくきん「TƯỞNG HỌC KIM」 học bổng
今年から奨学金が、もらえることになった。
Từ năm nay tôi bắt đầu nhận được học bổng"
公立,"こうりつ「CÔNG LẬP」 công lập
高校まで、公立の学校に通っていた。
Tôi đi học trường công cho đến hết cấp ba
＋国立：こくりつ： quốc lập
＋県立：けんりつ：trường của tỉnh
＋市立：しりつ：trưởng của TP"
私立,"しりつ「TƯ LẬP」 tư lập, dân lập
東京には、有名な私立大学がたくさんある。
Ở Tokyo có nhiều trường đại học tư lập nổi tiếng"
教授,"きょうじゅ「GIÁO THỤ」 Giáo sư
法学部の田中教授は、とても有名な人だ。
Giáo sư Tanaka khoa Luật là người nổi tiếng"
講義,"こうぎ「GIẢNG NGHĨA」 giờ giảng
鈴木教授の講義は、学生に大人気だ。
Giờ giảng của giáo sư Suzuki rất dc sv thích"
えらい,"uy tín, tầm cỡ
この大学には、えらい教授が多い。
Trường DH này có nhiều giáo sư tầm cỡ"
ゼミ,"nhóm nghiên cứu
どのゼミを選ぶか、まだ考えている。
Tôi vẫn đang suy nghĩ xem chọn nhóm nghiên cứu nào"
テーマ,"chủ đề, đề tài, theme
論文のテーマを、来週までに決めなければいけない。
Cho đến tuần sau phải quyết định đề tài luận văn"
手続き,"てつづき「THỦ TỤC」 thủ tục
入学の手続きは、金曜日までにしなければならない。
Đến hết thứ sáu phải làm xong thủ tục nhập học"
日付,"ひづけ「NHẬT PHÓ」 ngày tháng, date
レポートに日付を書いてください。
Hãy viết ngày tháng vào báo cáo"
筆者,"ひっしゃ「BÚT GIẢ」 tác giả, writer, author
この筆者の本は、私にはとても役に立つ。
Sách của tác giả này rất có ích cho tôi"
内容,"ないよう「NỘI DUNG」 nội dung
レポートの内容はいいが、枚数が足りない。
Nội dung báo cáo tốt nhưng ko đủ số trang"
まとめる,"tóm tắt
考えをまとめて、発表してください。
Hãy tóm tắt suy nghĩ của mình và phát biểu
＋（が）まとまる：đc tóm tắt"
仕上げる,"しあげる「SĨ THƯỢNG」 làm xong, hoàn thành
卒業論文を1週間で仕上げた。
Tôi hoàn thành luận văn tốt nghiệp trong 1 tuần
＋（が）仕上がる：しあがる：xong, hoàn thành"
提出,"ていしゅつ「ĐỀ XUẤT」  sự nộp, xuất trình
締め切りまでに、レポートを提出しなければ。
Đến hạn chót phải nộp báo cáo
＋（書類を）出す：だす：nộp"
進路,"しんろ「TIẾN LỘ」 lựa chọn cho tương lai
大学卒業後の進路について、親に相談した。
Tôi đã bàn với bố về con đường sau khi tốt nghiệp đại học"
大学院,"だいがくいん「ĐẠI HỌC VIỆN」 cao học
私は大学院で、研究をしたいと思っている。
Tôi muốn nghiên cứu ở cao học"
一人暮らし,"ひとりぐらし sống 1 mình
一人暮らしは楽しいが、ときどき寂しくなる。
Sống 1 mình vui nhưng thỉnh thoảng cũng buồn"
アルバイト,"việc làm thêm
来月からアルバイトを減らすことにした。
Tôi quyết định từ tháng sau sẽ giảm đi làm thêm
＝バイト"
時給,"じきゅう「THÌ CẤP」 lương theo giờ
今のバイトの時給は悪くない。
Lương giờ của cv làm thêm bây giờ ko tồi"
寮,"りょう「LIÊU」 ký túc xá
大学の寮が空いていれば、ぜひ入りたい。
Tôi muốn vào ký túc xá đại học nếu còn trống"
休学,"きゅうがく「HƯU HỌC」 sự nghỉ học
海外留学するために、2年間休学することにした。
Tôi quyết định nghỉ học 2 năm để đi du lịch nước ngoài"
退学,"たいがく「THỐI HỌC」 sự thôi học, bỏ học
経済的な理由で退学した。
Tôi thôi học vì lý do kinh tế"
