あう,"（事故に）あう　/ to have (accident) gặp (tai nạn)
子供のころ、交通事故にあったことがある。
Hồi bé tôi từng gặp tai nạn giao thông"
発生,"はっせい「PHÁT SANH」 to occur / sự phát sinh, xảy ra
あの交差点では、毎日事故が発生している。
Ở giao lộ ấy tai nạn xảy ra hàng ngày"
命,"いのち「MỆNH」 life / sinh mạng
命は何よりも大切だ。
Sinh mạng quan trọng hơn bất cứ thứ gì"
救う,"すくう「CỨU」 to save, to rescue / cứu
知らない人に、命を救ってもらった。
Tôi đc 1 người ko biết cứu mạng"
そうぞうしい,"noisy, boisterous / ồn ào
信号の近くが、ずいぶんそうぞうしい。
Gần đèn xanh đèn đỏ quá là ồn ào
＝さわがしい"
さわぐ,"to make noise / làm ầm ĩ, kêu ầm ĩ
交差点でさわいでいる人がいる。
Có người đang kêu ầm ĩ ở giao lộ"
現場,"げんば「HIỆN TRÀNG」 actual spot / hiện trường, chỗ đó
大きな音がしたので、現場に行ってみた。
Có tiếng động lớn nên tôi thử ra chỗ đó coi
＋事故現場：hiện trường xảy ra tai nạn
＋事件現場：hiện trường vụ án"
混乱,"こんらん「HỖN LOẠN」 confusion / sự hỗn loạn, náo loạn
現場は、警察と多くの人で混乱している。
Hiện trường đang náo loạn bởi cảnh sát và nhiều người"
パニック,"panic / hoảng loạn
大きな事故の現場をみて、パニックになった。
Nhìn hiện trường vụ tai nạn lớn mà bị hoảng loạn"
無事,"ぶじ＜な＞「VÔ SỰ」 safely, being unharmed / sự an toàn, bình an vô sự
事故にあった人の無事が確認された。（名）
いなくなった男の子が、無事に発見された。（な形）
Đã xác minh người bị tai nạn, an toàn
Đứa trẻ mất tích đã đc phát hiện an toàn"
防ぐ,"ふせぐ「PHÒNG」 to protect, to defend / phòng, đề phòng
警察は、犯罪を防ぐことができなかった。
Cảnh sất đã ko thể đề phòng tội phạm"
再び,"ふたたび「TÁI」 again, once more/ lại, một lần nữa lại
ひどい事故が再び起きてしまった。
Vụ tai nạn thảm khốc 1 lần nữa lại xảy ra"
わざと,"on purpose / cố tình
運転手は、わざと事故を起こしたのかもしれない。
Có thể người lái xe đã cố tình để xảy ra tai nạn"
被害者,"ひがいしゃ「BỊ HẠI GIẢ」 victim / người bị tai nạn, nạn nhân
事故の被害者は、大けがしたらない。
＜＞加害者：かがいしゃ: Người tấn công
＋被害：damage / bị thiệt hại"
互いに,"「お」互いに・たがいに「HỖ」 both, each other / nhau, cùng nhau
自転車に乗っている人も、歩いている人もお互いに注意が必要だ。
Cả người đi xe đạp lẫn người đi bộ cần chú ý nhau"
疑問,"ぎもん「NGHI VẤN」 question / nghi vấn
この事故には、いくつかの疑問がある。
Vụ tai nạn này có 1 vài nghi vấn"
飛び込む,"とびこむ「PHI NHẬP」 to jump in/ nhảy xuống, nhảy vào
準備運動をしないで、海に飛び込んではいけない。
Ko đc nhảy xuống biển mà ko khởi động trước"
おぼれる,"to drown / đuối nước
一人の男性が、お酒を飲んで泳いでおぼれた。
1 người đàn ông bị đuối nước do uống rượu rồi bơi"
飛び出す,"とびだす「PHI XUẤT」 to jump out/ phi ra, lao ra
子供もが道に、飛び出さないようにしてください。
Đừng để trẻ con lao ra đường
＋飛び出し注意：chú ý người lao ra đường"
行方不明,"ゆくえふめい「HÀNH PHƯƠNG BẤT MINH」 whereabouts unknown / mất tích
山で、3人の男女が行方不明になっている。
Có 3 người nam nữ mất tích trên núi"
亡くなる,"なくなる「VONG」 to pass away / mất, chết
毎年、登山中に亡くなる人がいる。
Hàng năm có người chết khi đang leo núi"
偶然,"ぐうぜん「NGẪU NHIÊN」 by chance/ ngẫu nhiên, tình cờ
それは偶然の事故だった。（名）
高校の友達に偶然会った。
Đó là 1 vụ tai nạn ngẫu nhiên
Tôi tình cờ gặp lại bạn hồi cấp 3"
