エンジニア,engineer/ kỹ sư
デザイナー,designer / nhà thiết kế
作家,writer / nhà văn
画家,がか / painter / họa sĩ
政治家,せいじか politician / chính trị gia
弁護士,べんごし / lawyer / luật sư
医者,いしゃ / doctor / bác sĩ
学者,がくしゃ / scholar / học giả
警察官,けいさつかん / police officer / cảnh sát
消防署,しょうぼうし / firefighter / nv cứu hỏa
美容師,びようし / hair stylist / thợ làm tóc
ジャーナリスト,journalist / phóng viên
保育士,ほいくし childcare worker / bảo mẫu
公務員,こうむいん public servant / công chức viên
歌手,かしゅ singer / ca sĩ
俳優,はいゆう actor / diễn viên
タレント,talent / nghệ sỹ truyền hình
プロスポーツ選手,professional athlete / vdv chuyên nghiệp
