彼女,"かのじょ「BỈ NỮ」cô ấy, bạn gái
彼女ができたので、毎日がたのしい。
Tôi mới có bạn gái nên ngày nào cũng vui"
彼,"かれ「BỈ」anh ấy, bạn trai
両親は、彼をあまり好きじゃないようだ。Bố mẹ tôi có vẻ không thích anh ấy lắm.
＝彼氏；かれし: anh ấy"
愛情,"あいじょう「ÁI TÌNH」tình yêu
優しい人とわかり、愛情に変わった。
Tôi tin rằng anh ấy là người hiền lành và tình bạn của họ đã chuyển thành tình yêu."
出会い,"であい「XUẤT HỘI」Cuộc gặp gỡ
それはドラマのような出会いだっ。
Đó là cuộc gặp gỡ như là trong phim vậy"
出会う,"であう「XUẤT HỘI」
アメリカに旅行したとき、彼女に出会った。
Tôi đã gặp cố ấy khi đi du lịch ở Mỹ"
付き合う,"つきあう「PHÓ HỢP」yêu nhau, hẹn hò
①二人は半年前から付き合っている。Hai người yêu nhau từ nửa năm trước
②これから友達の買い物に付き合う。Bây giờ tôi cùng đi mua sắm với bạn
＋付き合い：つきあい：mối quan hệ"
交際＜する＞,"こうさい「GIAO TẾ」sự quan hệ, giao thiệp
彼女の両親が、二人の交際に反対している。Bố mẹ cô ấy phản đối mối quan hệ của 2 người."
記念＜する＞,"きねん「KÍ NIỆM」sự kỷ niệm
彼女の卒業を記念して、写真を取った。Tôi chụp ảnh kỷ nhiệm tốt nghiệp của cô ấy"
記念日,"きねんび「KÍ NIỆM NHẬT」Ngày kỉ niệm
明日は結婚記念日だ。Mai là ngày kỉ niệm kết hôn"
けんか＜する＞,"Cãi nhau
私たちは、よくけんかする。Chúng tôi hay cãi nhau
＋口げんか＜する＞＝くちげんか：Sự cãi nhau"
言い返す,"いいかえす「NGÔN PHẢN」Nói lại, bắt bẻ
彼は注意されると、すぐ言い返す。Anh ấy hễ bị nhắc nhở là nói lại ngay."
謝る,"あやまる「TẠ」Xin lỗi
私が怒ると、彼はすぐ謝る。Hễ tôi tức giận là anh ta lại xin lỗi ngay"
仲直り＜する＞,"なかなおり「TRỌNG TRỰC」Sự làm lành
三日前にけんかして、まだ仲直りしていない。Chúng tôi cãi nhau 3 ngày trước và giờ vẫn chưa làm lành"
連れて行く,"つれていく「LIÊN」「HÀNH」dẫn đi, dắt đi
両親の家に彼女を連れて行きたい。Tôi muốn dẫn bạn gái đến nhà bố mẹ"
連れて来る,"つれてくる「LIÊN」「LAI」dẫn đến, dẫn về
兄が彼女を家に連れて来た。Anh trai tôi dẫn bạn gái về nhà"
秘密,"ひみつ「BÍ MẬT」bí mật
彼は私の秘密を、みんなに話した。
Anh ấy nói vs mọi người bí mật của tôi"
内緒,"ないしょ「NỘI TỰ」bí mật, chuyện nội bộ biết với nhau
この話は、絶対に内緒にしてね。
Chuyện này phải tuyện đối giữ bí mật đấy nhé"
好かれる,"すかれる được yêu thích, được yêu mến
彼女は、みんなに好かれる人だ。
Cô ấy được mọi người yêu mến."
もてる,"có duyên, đào hoa
どうして彼が女性にもてるのか、わからない。
Tôi không hiểu được tại sao anh ta lại có duyên với phụ nữ"
（人を）ふる,"bỏ (người yêu), từ chối (ai đó)
弟は彼女にふられて、元気がない。
Em trai bị bạn gái bỏ nên buồn bã."
【お】見合い＜する＞,"みあい「KIẾN HỢP」mai mối
姉はお見合いの前に、美容院へ行った。EM gái trước khi đi đến buổi mai mối đã đi làm tóc
＋見合い結婚ーみあいけっこん：kết hôn qua mai mối"
恋愛＜する＞,"れんあい「LUYẾN ÁI」chuyện yêu đương, tình yêu.
今は恋愛より、いい友達がほしい。Bây giờ tôi muốn có 1 người bạn tốt hơn là yêu đương
＋恋愛結婚: kết hôn tình yêu"
存在＜する＞,"そんざい「TỒN TẠI」sự tồn tại của người, thứ
恋人は、ぼくにとって大切な存在だ。Người yêu là người rất quan trọng đối với tôi."
