単語,"たんご「ĐƠN NGỮ」 từ vựng, word, vocalbulary
単語を、たくさん覚えよう。
Hãy nhớ nhiều từ vựng vào."
アクセント,"accent, từ vựng phát âm
アクセントに注意して、発音しよう。
Hãy chú ý đến trọng âm khi phát âm"
暗記,"あんき「ÁM KÍ」 sự học thuộc lòng
この文を暗記するのに、1時間もかかった。
Để thuộc lòng bài văn này tốn những 1 giờ."
記憶,"きおく「KÍ ỨC」 kí ức, ghi nhớ
小学校のとく、この本を読んだ記憶がある。
Tôi còn nhớ mình đã đọc cuốn sách này hồi học tiểu học"
繰り返す,"くりかえす「SÀO PHẢN」 nhắc lại
日本語の文を、何回も繰り返して読む。
Tôi đọc đi lập lại nhiều lần câu tiếng Nhật
=リピートする"
聞き取る,"ききとる「VĂN THỦ」 Nghe, to hear
単語を聞き取って、書いてください。
Hãy nghe và viết từ vựng"
聞き返す,"ききかえす「VĂN PHẢN」 hỏi lại, to ask again
先生の話がよく聞き取れなかったので、聞き返した。
Vì ko nghe rõ cô giáo nói nên tôi đã hỏi lại."
聞き直す,"ききなおす「VĂN TRỰC」 nghe lại
発音を確認するために、、もう一度CDを聞き直した。
Tôi đã nghe CD lại 1 lần nữa để kiểm tra phát âm"
言い直す,"いいなおす「NGÔN TRỰC」 nói lại
発音を間違えたので、言い直した。
Vì phát âm nhầm nên tôi đã nói lại"
英会話,"えいかいわ「ANH HỘI THOẠI」 hội thoại tiếng Anh
英会話を習っているが、なかなかうまくならない。
Tôi học hội thoại tiếng Anh nhưng mãi ko thành thạo."
入門,"にゅうもん「NHẬP MÔN」 nhập môn
フランス語の入門クラスで勉強しています。
Tôi đang học lớp nhập môn tiếng Pháp"
下書き,"したがき「HẠ THƯ」 sự viết nháp
作文は、まず下書きをしたほうがいい。
Đầu tiên nên viết nháp bài văn thì tốt hơn"
清書,"せいしょ「THANH THƯ」 sự viết chính thức
清書はていねいに、きれいに書きましょう。
Khi viết chính thức thì chúng ta hãy viết cẩn thận và đẹp"
表れる,"あらわれる「BIỂU」 thể hiện
書いた文字には、その人の気持ちが表れる。
Chữ viết thể hiện tâm trạng của người đó
＋（～を）表す：あらわす： thể hiện"
物語,"ものがたり「VẬT NGỮ」 truyện, truyện cổ tích
寝る前に、日本の物語を読む。
Trước khi ngủ tôi đọc truyện cổ tích Nhật Bản"
教科,"きょうか「GIÁO KHOA」 môn học
私の好きな教科は、数学です。
Môn học mà tôi thích là toán học
＋国語：こくご：môn quốc ngữ
＋理科：りか：môn khoa học
＋算数：さんすう：môn toán số"
科目,"かもく「KHOA MỤC」 môn học, subject, class
水曜日は、好きな科目の授業を選べる。
Thứ tư tôi chọn giờ có môn học yêu thích."
足し算,"たしざん「TÚC TOÁN」 phép cộng, addition
大きな数学の足し算は間違えそうだ。
Phép cộng số lớn có khả năng bị nhầm
＜＞引き算：ひきざん：phép trừ
＋かけ算：かけざん： phép nhân
＋割り算：わりざん：phép chia"
イコール,"equals, phép bằng
[=]はイコールと読む。
Dấu = đọc là bằng"
グラフ,"biểu đồ, graph
次のグラフを見て、答えてください。
Hãy nhìn biểu đồ và trả lời câu hỏi."
三角形,"さんかくけい「TAM GIÁC HÌNH」 hình tam giác, triangle
紙を三角形に折る。
Xếp tờ giấy thành tam giác
＝三角：さんかく：tam giác
＋四角：しかく：tứ giác"
定規,"じょうぎ「ĐỊNH QUY」 ruler, thước
箱の大きさを定規で測る。
Đo độ lớn của cái hộp bằng thước
＝ものさし"
センチ,"centimet (cm)
1メートルは、何センチですか。
1m bằng bao nhiêu cm?"
自習,"じしゅう「TỰ TẬP」 sự tự học, self study
先生が来るまで、自習していてください。
Hãy tự học cho đến khi thầy cô đến"
ローマ字,"ローマじ「TỰ」 romaji, chữ cái Latinh
ここに、ローマ字で名前を書いてください。
Hãy viết tên bằng romaji vào đây."
補講,"ほこう「BỔ GIẢNG」 học bù, học thêm
昨日欠席した人は、今日、補講があります。
Những ai vắng mặt ngày hôm qua, hôm nay sẽ học bù
＋補習：ほしゅう：học bổ túc"
けずる,"（えんぴつを）けずる：gọt (bút chì)
息子は、ナイフでえんぴつをけずれない。
Con trai tôi ko thể gọt bút chì bằng dao"
