本日,"ほんじつ「BỔN NHẬT」hôm nay
本日はお忙しいところ、ありがとうございます。Cảm ơn bạn hôm nay dù bận rộn vẫn giúp đỡ tôi
＝今日"
明日,"あす「MINH NHẬT」 ngày mai
明日の3時に、そちらにうかがいます。
Ngày mai 3 giờ tôi xin phép đến chỗ chị."
前日,"ぜんじつ「TIỀN NHẬT」 ngày hôm trước
会議の前日に準備をする。
Chuẩn bị vào ngày hôm trước của cuộc họp"
翌日,"よくじつ「DỰC NHẬT」ngày hôm sau
誕生日の翌日に、韓国に出張した。
Tôi đã đi công tác tại Hàn Quốc vào hôm sau ngày sinh nhật
＋翌週：よくしゅう: tuần sau đó
翌月：よくげつ: tháng sau đó
翌年：よくとし: năm sau đó"
しあさって,"ngày kia
私の誕生日は、しあさってだ。
Sinh nhật của tôi là ngày kia"
先おととい,"さきおととい　hôm kia
先おととい、高校のクラス会があった。
Hôm kia có buổi họp lớp cấp ba"
昨日,"さくじつ hôm qua
昨日は、いろいろとお世話になりました。Cảm ơn anh Hôm qua đã giúp tôi rất nhiều
＋おととい／一昨年：いっさくねん: năm kia ( 2 năm trước)"
昨年,"さくねん「TẠC NHẬT」 năm ngoái
昨年の5月に日本にまいりました。
Tôi đến Nhật vào tháng 5 năm ngoái."
先日,"せんじつ「TIÊN NHẬT」 hôm nọ, hôm trước
A「先日は、どうもありがとうございました。」
B「こちらこそ、どうも。」
A: Hôm nọ cảm ơn chị nhé
B: Tôi cũng vậy"
再来週,"さらいしゅう「TÁI LAI CHU」 Tuần tới nữa
再来週は仕事が忙しくなりそうだ。
Có lẽ tuần tới nữa công việc sẽ bận"
先々週,"せんせんしゅう「TIÊN CHU」 tuần trước nữa
先々週の試験が、今日やっと返ってきた。 Cuối cùng ngày hôm nay trả về kết quả của kỳ thi tuần trước nữa
＋先々月：せんせんげつ：tháng trước nữa"
上旬,"じょうじゅん「THƯỢNG TUẦN」đầu tháng
来月の上旬、タイに旅行に行きます。
Đầu tháng, tôi sẽ đi du lịch ở Thái
＋初旬：しょじゅん：đầu tháng"
中旬,"ちゅうじゅん「TRUNG TUẦN」 giữa tháng
今月の中旬までにレポートを出してください。 Đến giữa tháng này hãy nộp báo cáo"
下旬,"げじゅん「HẠ TUẦN」 hạ tuần, cuối tháng
毎月下旬になると、給料が楽しみだ。
Cứ đến giữa tháng, tôi lại khấp khởi chờ lương "
深夜,"しんや「THÂM DẠ」 Đêm khuya
深夜になると、大きな声が聞こえる。 Cữ hễ đêm khuya, tôi lại nghe thấy âm thanh to 
＝真夜中：まよなか: đêm khuya
＋深夜番組：しんやばんぐみ: chương trình đêm khuya"
未来,"みらい「VỊ LAI」 tương lai
子供たちの明るい未来を考えよう。
Hãy nghĩ đến tương lai của bọn trẻ
＋将来：しょうらい：tương lại
将来 chỉ thời gian gần tới, cá nhân
未来 nghĩa rộng hơn"
数日,"すうじつ「SỔ NHẬT」 một số ngày, vài ngày
土曜日から数日は、天気が悪いそうだ。 Nghe nói từ thứ 7, thời tiết sẽ xấu trong vài ngày
＋数か月：すうかげつ: vài tháng
＋数年：すうねん: vài năm
＋数回：すうかい: vài lần"
以降,"いこう「DĨ HÀNG」 từ sau
大地震以降、水を買っておくようになった。 Kể từ sau trận động đất lớn xảy ra, tôi bắt đầu mua nước dự trữ
＋以後：いご: từ sau
＋以来：いらい: từ đó đến nay
＋以前：いぜん: từ đó trở về nước"
