企業,"きぎょう「XÍ NGHIỆP」 doanh nghiệp, cty
興味がある企業が、いくつかある。
Có 1 vài doanh nghiệp mà tôi quan tâm"
ホームページ,"homepage, trang chủ
行きたい会社のホームページをチェックする。
Tôi kiểm tra trang chủ của cty mà tôi muốn đến
＋ウェブサイト：website
＋ウェブページ：webpage"
条件,"じょうけん「ĐIỀU KIỆN」 condition, điều kiện
就職の条件は、企業によって違う。
Điều kiện làm việc mỗi  cty mỗi khác"
募集,"ぼしゅう「MỘ TẬP」 sự tuyển mộ, chiêu mộ, chiêu sinh
サイトを見て、募集の条件を確認した。
Tôi xem trang web, xác nhận điều kiện tuyển mộ"
応募,"おうぼ「ỨNG MỘ」 sự ứng tuyển
3つの企業に応募してみようと思っている。
Tôi định thử ứng tuyển vào 3 cty"
登録,"とうろく「ĐĂNG LỤC」 sự đăng ký
就職サイトに登録した。
Tôi đã đăng ký vào trang xin việc"
面接,"めんせつ「DIỆN TIẾP」 interview, phỏng vấn
面接の翌日、さっそく連絡が来た。
Hôm sau ngày phỏng vấn đã có liên lạc ngay"
履歴書,"りれきしょ「LÍ LỊCH THƯ」 sơ yếu lí lịch
履歴書のために写真を撮った
Tôi chụp ảnh để làm sơ yếu lí lịch"
記入,"きにゅう「KÍ NHẬP」 việc ghi, viết vào
履歴書に趣味を記入した。
Tôi viết sở thích vào sơ yếu lí lịch"
資格,"しかく「TƯ CÁCH」 chứng chỉ
就職のためには、どんな資格が必要ですか。
Để xin việc có cần chứng chỉ gì không>"
服装,"ふくそう「PHỤC TRANG」 trang phục
面接では、髪型や服装にも気を付けましょう。
Hãy chú ý tóc tai, trang phục để đi phỏng vấn"
長所,"ちょうしょ「TRƯỜNG SỞ」 sở trường, điểm mạnh
あなたの長所を２つ答えてください。
Hãy nói 2 sở trường của bạn"
短所,"たんしょ「ĐOẢN SỞ」 sở đoản, điểm yếu
あなたの短所は何ですか。
Điểm yếu của bạn là gì"
全て,"すべて「TOÀN」 tất cả
社長の本は、全て読んだ。
Tôi đã đọc tất cả sách của giám đốc"
ワイシャツ,"áo sơ mi
デパートで、面接のためのワイシャツを買った
Tôi đã mua áo sơ mi để đi phỏng vấn tại trung tâm thương mại"
ぜひ,"nhất định, rất
ぜひ、こちらで働かせていただきたい.
Tôi rất muốn được làm việc ở đây"
ぜひとも,"nhất định, rất mong
ぜひとも、この会社で働きたいです。
Tôi rất mong muốn được làm việc ở cty này"
やとう,"thuê, to hire, to employ
この会社では、1000人以上の社員をやとっているそうだ
Nghe nói cty này thuê hơn 1000 nhân viên"
採用,"さいよう「THẢI DỤNG」 sự tuyển dụng
あの会社に採用されるか、心配だ。
Tôi lo không biết có được tuyển dụng vào cty đấy ko nữa"
受け取る,"うけとる「THỤ THỦ」 nhận, to receive
面接した会社から、採用の書類を受け取った。
Tôi đã nhận đc hồ sơ tuyển dụng từ cty phỏng vấn"
正社員,"せいしゃいん「CHÁNH XÃ VIÊN」 nhân viên chính thức
できれば正社員になりたい。
Nếu dc tôi muốn trở thành nv chính thức"
サマリーマン,"người đi làm ăn lương
サマリーマンらしいスーツを買った
Tôi đã mua 1 bộ comle đúng kiểu người đi làm"
研修,"けんしゅう「NGHIÊN TU」　training, sự đào tạo
採用が決まって、すぐに研究が始まる。
Tuyển dụng dc quyết định và công tác đào tạo được dc bắt đầu ngay"
実習,"じっしゅう「THỰC TẬP」 sự thực tập, tập sự
研修で習ったことを実習する
Thực tập những điều đã học dc ở khóa đào tạo"
インターン,"intern, thực tập, thực tập sinh
インターンに学生にとって、いい経験だ。
Thực tập là 1 kinh nghiệm tốt đối với học sinh"
職場,"しょくば「CHỨC TRÀNG」 nơi làm việc
職場では、ひとの関係がとても大切だ。
Mối quan hệ con người ở nơi làm việc rất quan trọng"
得る,"える「ĐẮC」 dành, có
仕事から、多くの経験を得ることができる。
Có thể có được nhiều kinh nghiệm từ công việc"
たとえ,"たとえ嫌なことがあっても、がんばりたい
Cho dù có điều gì chán ghét tôi vẫn muốn cố gắng"
