似ます;にます - Giống, tương tự
生きます;いきます - Sống
閉じます;とじます - Đóng
案じます;あんじます - Cân nhắc
演じます;えんじます - Diễn
軽んじます;かろんじます - Coi thường
謀んじます;そらんじます - Am hiểu
甘んじます;あまんじます - Cam tâm
干からびます;ひからびます - Khô queo
尽きます;つきます - Cạn kiệt
信じます;しんじます - Tin tưởng
出来ます;できます - Có thể
浴びます;あびます - Tắm
借ります;かります - Mượn
います;います - Có, ở
感じます;かんじます - Cảm thấy
禁じます;きんじます - Cấm
煎じます;せんじます - Rang
投じます;とうじます - Quăng
応じます;おうじます - Đăng kí, phản hồi
封じます;ふうじます - Niêm phong
命じます;めいじます - Ban hành
免じます;めんじます - Miễn trừ
伸びます;のびます - Kéo dài
延びます;のびます - Trải rộng
着ます;きます - Mặc
落ちます;おちます - Rơi, rụng
飽きます;あきます - Chán, ngán
存じます;ぞんじます - Biết
煮ます;にます - Nấu
