牛肉;ぎゅうにく.thịt bò
子牛肉;こうしにく.thịt bê
豚肉;ぶたにく.thịt lợn
鶏肉;とりにく.thịt gà
マトン;マトン.thịt cừu
ラム;ラム.thịt cừu non
鴨肉;かもにく.thịt vịt
卵;たまご.trứng
うずなの卵;うずなのたまご.trứng chim cút
うなぎ;うなぎ.lươn
かつお;かつお.cá ngừ
かれい;かれい.cá bơn lưỡi ngựa
鯉;こい.cá chép
鮭;さけ.cá hồi
さば;さば.cá thu
さわら;さわら.cá thu Tây Ban Nha
すずき;すずき.Cá rô biển
鯛;たい.Cá tráp biển
たら;たら.cá tuyết
にしん;にしん.cá trích
ひらめ;ひらめ.cá bơn
まくろ;まくろ.cá ngừ
ます;ます.cá trê
いか;いか.mực
蛸;たこ.bạch tuộc
伊勢えび;いせえび.tôm hùm
小海老;こえび.tôm thẻ
かに;かに.cua
たにし;たにし.ốc (vặn)
あわび;あわび.Bào ngư
かき;かき.hàu
はまぐり;はまぐり.Trai, sò (lớn)
ほたてかい;ほたてかい.Sò điệp
バター;バター.Bơ
マーガリン;マーガリン.Bơ thực vật
食用油;しょくようゆ.Dầu ăn
油;あぶら.Dầu
ピーナッツ油;ピーナッツゆ.Dầu phộng
ごま油;ごまゆ.Dầu mè
とうもろこし油;とうもろこしゆ.Dầu bắp
サラダゆ;サラダゆ.Dầu salad
胡椒;こしょう.Hạt tiêu
酢;す.Dấm ăn
砂糖;さとう.Đường
蜂蜜;はちみつ.Mật ong
塩;しお.Muối
醤油;しょうゆ.Nước tương
唐辛子;とうがらし.Ớt
小唐辛子;しょうとうがらし.Ớt hiểm
生唐辛子;なまとうがらし.Ớt tươi
乾燥唐辛子;かんそうとうがらし.Ớt khô
膨らし粉;ふくらしこな.Thuốc muối
みょうばん;みょうばん.Phèn chua
生姜;しょうが.Gừng
大蒜;にんにく.Tỏi
たまねぎ;たまねぎ.Hành tây
シナモン;シナモン.Quế
わさび;わさび.Mù tạt
カレー粉;カレーこな.Bột cà ri
麦粉;むぎこな.Bột mì
片栗粉;かたくりこな.Bột sắn, bột năng
胡麻;ごま.Vừng (Mè)
白胡麻;しろごま.Vừng trắng (Mè trắng)
黒胡麻;くろごま.Vừng đen (Mè đen)
カシューナッツ;カシューナッツ.Hạt điều
豆;まめ.Đỗ (Đậu)
青豆;あおまめ.Đỗ xanh (Đậu xanh)
あずき;あずき.Đỗ đỏ (Đậu đỏ)
大豆;おおまめ.Đỗ tương (Đậu nành, đậu tương)
とうもろこし;とうもろこし.Ngô (Bắp)
きゅうり;きゅうり.Dưa leo
竹の子;たけのこ.Măng
キノコ;キノコ.Nấm rơm
しいたけ;しいたけ.Nấm đông cô
きくらげ;きくらげ.Nấm mèo
玉ねぎ;たまねぎ.Hành tây
りねぎ;りねぎ.Hành lá
もやし;もやし.Giá đỗ
へちま;へちま.Mướp
ゴーヤ;ゴーヤ.Mướp đắng
オクラ;オクラ.Đậu bắp
アスパラガス;アスパラガス.Măng tây
ハスの根;ハスのたね.Ngó sen
レンコン;レンコン.Củ sen
ハスの実;ハスのみ.Hạt sen
